transaction_id,customer_id,transaction_date,amount,status,payment_method,region,plan
T00001,C020,2024-06-15,300,success,card,India,Pro
T00002,C006,2024-05-31,350,success,upi,Germany,Pro
T00003,C041,2024-01-18,900,success,bank,US,Enterprise
T00004,C065,2024-02-26,350,success,upi,Germany,Pro
T00005,C004,2024-01-06,120,success,upi,Singapore,Basic
T00006,C057,2024-02-17,250,success,upi,India,Pro
T00007,C092,2024-03-21,900,success,card,India,Enterprise
T00008,C044,2024-06-26,350,success,upi,Germany,Pro
T00009,C069,2024-02-29,250,success,upi,US,Pro
T00010,C063,2024-04-24,1200,success,bank,UK,Enterprise
T00011,C094,2024-02-02,1200,success,upi,India,Enterprise
T00012,C015,2024-05-21,300,success,card,India,Pro
T00013,C043,2024-05-09,250,success,bank,UK,Pro
T00014,C025,2024-03-19,700,success,upi,Germany,Enterprise
T00015,C016,2024-03-30,700,success,upi,Singapore,Enterprise
T00016,C057,2024-05-27,300,success,card,Singapore,Pro
T00017,C074,2024-04-17,150,failed,upi,Germany,Basic
T00018,C072,2024-01-09,150,success,upi,US,Basic
T00019,C034,2024-01-13,1200,success,upi,Germany,Enterprise
T00020,C052,2024-06-29,150,success,bank,Singapore,Basic
T00021,C034,2024-01-09,700,success,bank,Singapore,Enterprise
T00022,C056,2024-01-27,700,failed,bank,Singapore,Enterprise
T00023,C025,2024-01-25,250,success,upi,India,Pro
T00024,C063,2024-04-08,99,success,upi,US,Basic
T00025,C064,2024-02-02,150,success,card,UK,Basic
T00026,C014,2024-03-10,900,success,bank,UK,Enterprise
T00027,C062,2024-04-01,700,success,upi,Singapore,Enterprise
T00028,C003,2024-02-21,250,success,card,Germany,Pro
T00029,C054,2024-06-29,120,success,bank,UK,Basic
T00030,C088,2024-03-03,99,success,bank,Singapore,Basic
T00031,C036,2024-01-02,120,success,bank,UK,Basic
T00032,C068,2024-02-01,250,failed,bank,UK,Pro
T00033,C050,2024-06-13,250,success,upi,UK,Pro
T00034,C086,2024-02-21,120,success,bank,Singapore,Basic
T00035,C057,2024-03-30,1200,success,upi,India,Enterprise
T00036,C074,2024-02-16,300,success,upi,Germany,Pro
T00037,C081,2024-06-22,1200,success,upi,UK,Enterprise
T00038,C052,2024-06-28,250,success,upi,UK,Pro
T00039,C016,2024-02-16,350,success,upi,Singapore,Pro
T00040,C084,2024-04-28,350,success,bank,India,Pro
T00041,C012,2024-04-24,250,success,card,India,Pro
T00042,C075,2024-02-15,99,success,upi,US,Basic
T00043,C092,2024-03-22,300,success,bank,Germany,Pro
T00044,C043,2024-01-30,350,success,bank,India,Pro
T00045,C056,2024-06-08,120,failed,upi,UK,Basic
